artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
State of Practice: The Evolution of Security Risk Management in the Humanitarian Space,,"As a subject of humanitarian policy and practice, security risk management (SRM) has been an active and growing – yet largely understudied – area of operations. Only a small number of comprehensive, sector-wide analyses of SRM have been published over the past two decades, and none of them are recent enough to cover the significant developments of the past several years.To address this gap, Humanitarian Outcomes, Global Interagency Security Forum (GISF), and Humanitarian Practice Network (HPN) partnered to conduct a global review of SRM in the humanitarian space, under a project funded by USAID’s Bureau for Humanitarian Assistance (BHA). This report, co-authored by Humanitarian Outcomes and GISF, is the first output of this research programme, which will also inform a newly revised edition of the HPN publication Good Practice Review: Operational Security Management in Violent Environments, last updated in 2010.This study sets out to assess the current state of practice in humanitarian SRM, and whether it is fit for purpose in the changing landscape of humanitarian crises. It documents recent developments, challenges and gaps, and highlights good and promising practices.The report aims to be useful for a broad audience of humanitarian practitioners and policymakers, as well as for humanitarian SRM professionals, many of whom provided the evidence and insights used for the analysis.The findings in the report are based on a mix of qualitative and quantitative methods, including key informant interviews, context-based research, survey data, and a review of relevant literature. These evidence components were augmented by data on aid worker violence, conflicts, and humanitarian sector funding and personnel.",,report,,2024-02-01,,,https://humanitarianoutcomes.org/security_risk_mgmt_humanitarian_space_2024,,,,,,,,,,,,,,,,,,,Abby Stoddard|Adelicia Fairbanks|Monica Czwarno|Meriah-Jo Breckenridge|Mariana Duque-Diez|Lisa Reilly|Heather Hughes,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/state-_of-_practice-_the_evolution_of_srm_02_24.pdf,en,,,,,,,,
Somali Capacities to Respond to Crisis are Changing,,"Somalia’s most recent humanitarian crisis (2022–23) was severe, with an unprecedented series of failed rainy seasons leading to widespread suffering and significant excess mortality. The drivers of the near-famine – drought, conflict, and fragile governance – were largely similar to previous crises in 2011 and 2017; but Somali society is much changed, and the crisis was less devastating than initially feared. Although the humanitarian response started slowly, it grew in scale, with humanitarian aid contributions reaching over US$2.2 billion in 2022 and played an important role in addressing humanitarian needs. But the international response was only part of the story.Somali capacities to respond to crisis were also vital – and yet they remain poorly understood. Somalia is often seen from the outside as a failed state, home of terrorists and pirates, chronically corrupt, and prone to famine and crisis. But in the decade since the 2011 famine, Somali capacities to respond to crisis have grown, and international aid needs to support those capacities more effectively. This review, which encompassed 118 interviews with local and international aid actors, government, business people, and academics as well as Somali citizens from different backgrounds – and together with a phone survey with 760 respondents – focused on the resilience capacities of the country’s citizens and systems, and how the humanitarian system has engaged with these. The review is not intended to be an evaluation of the 2022–23 humanitarian response. Rather, it attempts to offer a forward-looking perspective on how humanitarian aid might better engage with the changing Somali context to do better and cause less harm in the face of accelerating climate change and ongoing conflict.",,report,,2023-10-01,,,https://humanitarianoutcomes.org/publications/somali-capacities-respond-crisis-are-changing,,,,,,,,,,,,,,,,,,,Peter Hailey|Irina Mosel|Daniel Maxwell|Nisar Majid|Khaliif Cabdullaahi|Gudad Aden|Shamsa Hasan|Partha Moman|Patricia Sampedro|Nancy Balfour,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/ho_ukhih_somalia_1023_2.pdf,en,,,,,,,,
Somali Capacities to Respond to Crisis are Changing,,"Somalia’s most recent humanitarian crisis (2022–23) was severe, with an unprecedented series of failed rainy seasons leading to widespread suffering and significant excess mortality. The drivers of the near-famine – drought, conflict, and fragile governance – were largely similar to previous crises in 2011 and 2017; but Somali society is much changed, and the crisis was less devastating than initially feared. Although the humanitarian response started slowly, it grew in scale, with humanitarian aid contributions reaching over US$2.2 billion in 2022 and played an important role in addressing humanitarian needs. But the international response was only part of the story.Somali capacities to respond to crisis were also vital – and yet they remain poorly understood. Somalia is often seen from the outside as a failed state, home of terrorists and pirates, chronically corrupt, and prone to famine and crisis. But in the decade since the 2011 famine, Somali capacities to respond to crisis have grown, and international aid needs to support those capacities more effectively. This review, which encompassed 118 interviews with local and international aid actors, government, business people, and academics as well as Somali citizens from different backgrounds – and together with a phone survey with 760 respondents – focused on the resilience capacities of the country’s citizens and systems, and how the humanitarian system has engaged with these. The review is not intended to be an evaluation of the 2022–23 humanitarian response. Rather, it attempts to offer a forward-looking perspective on how humanitarian aid might better engage with the changing Somali context to do better and cause less harm in the face of accelerating climate change and ongoing conflict.",,report,,2023-10-01,,,https://humanitarianoutcomes.org/publications/somali-capacities-respond-crisis-are-changing,,,,,,,,,,,,,,,,,,,Peter Hailey|Irina Mosel|Daniel Maxwell|Nisar Majid|Khaliif Cabdullaahi|Gudad Aden|Shamsa Hasan|Partha Moman|Patricia Sampedro|Nancy Balfour,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/ho-ukhih_somalia-summary_somali_0124.pdf,so,,,,,,,,
Running in Place: Security risk management in humanitarian operations,,"Humanitarian aid workers are more likely to die from violence than any other job-related cause. Last year was especially brutal, with upwards of 260 aid workers killed — more than double the average of the prior three years.Beginning in the late 1990s, aid organisations have been awake to the serious security risks inherent in their work, and have made steady progress in developing systems, tools, and approaches to mitigate them — a body of practice known as security risk management (SRM). As SRM has spread across the humanitarian sector, it has incrementally become more sophisticated and institutionalised within organisations, for the purpose of enabling operations in high-risk areas. At its best, SRM is inseparable from programming, used as both a support and a means to achieve aid objectives., conducted by Humanitarian Outcomes and the (GISF), takes stock of SRM as it is currently practiced in humanitarian responses. The research project, funded by USAID’s Bureau for Humanitarian Assistance (BHA), is the largest and most comprehensive review of the subject since the UN-led  research from 2011.Although the study found significant progress in SRM, it also highlights some troubling disparities and gaps. Specifically, neither the benefits of SRM nor the burden of risk are shared fairly between international organisations and local/national humanitarian actors. Moreover, the goalposts have moved, meaning the advances made in SRM have not necessarily kept up with changing threat landscapes, nor have they enabled humanitarians to address emerging risks proactively. Due partly to these shortcomings, humanitarian access remains severely constrained in some of the world’s worst emergencies — a crippling weakness for the aid sector. Since the early 2000s, complex emergencies and civil conflicts with multiple armed factions have presented increasingly challenging environments for aid groups to navigate. But recent years have witnessed a new rise in large-scale wars, fought with heavy weaponry and often indiscriminate airstrikes. While the first two decades of the 20th century saw humanitarians coming to grips with the fact that they were increasingly becoming targets in these conflicts, the challenge of 2020s will likely be operational environments where every civilian is a potential target and the rules of war seem more and more illusory.The digital realm presents a growing array of new risks as well, with disinformation and cyber-crime posing threats that can quickly translate to real world dangers. Meanwhile, the global pressures of climate change and economic hardship are spurring population movements and kindling tensions over resources that could easily erupt in new violence. A basic challenge with SRM is that it is by nature reactive and tends to innovate backward. Humanitarians may spot the emerging risks on the horizon, but until they encounter them in the form of a serious security incident, little thought or action is applied to how best to anticipate and mitigate against them. While well-suited for managing probable risks, SRM procedures often overlook and undervalue the less likely, yet potentially devastating, ones.Most international NGOs and agencies working in humanitarian crises can now boast well-established SRM systems, structures, and protocols, but local and national organisations lag far behind in SRM development. They lack adequate staff in security roles, as well as budgets for basic equipment and necessities like safe transport or accommodations for programme staff. This is largely because of a persistent and pernicious funding model (the project-based “implementing partnership” sub-grant) that effectively prevents their organisational growth and capacity strengthening. In short, without access to sufficient overheads or sustained core funding, and under pressure to keep costs low to win contracts, local and national organisations remain at a serious disadvantage when it comes to SRM. In addition to direct funding, local actors have lesser access to SRM coordination, training, tools, and policy guidance. Even where these resources are shared, too often they are only available in English, and geared towards Western international organisations. This disparity is unconscionable given that local actors often bear more frontline risk. It also leads to perverse outcomes whereby the organisations in the most immediate danger are the least resourced in SRM capacity. Perhaps most troubling, international organisation staff interviewed for the study spoke of disincentives to supporting SRM development of their local organisation partners, out of fear this would create a formal responsibility and liability for their organisation should the local partner experience a security incident.Access constraints in recent conflicts have left large numbers of crisis-affected people unable to reach, or be reached by, critical humanitarian aid. In such cases, security risks can be an important, but not the only, obstacle to access. In addition to logistical impediments, there are often political and bureaucratic challenges that require intensive negotiations and coordinated approaches to extend and expand access. Humanitarians are also contending with a significant loss of trust in deconfliction efforts with military actors (notably Russia) acting in bad faith. NGOs have legitimate fears that providing information on their location and movements, far from guaranteeing their safety, may instead be putting a target on their backs. The study found that SRM personnel and systems are not invited or are choosing not to engage with the broader issues and discussions, such as the OCHA-led Access Working Groups, which have made impressive progress in several settings. Given that gaining and maintaining access in challenging operational environments is the fundamental aim of SRM in the humanitarian response, it would benefit both security and access objectives if SRM was more integrated in access efforts.A more nuanced consideration of individuals and their profiles is changing humanitarian SRM in two major ways. First, many in the sector have endorsed a ‘person-centred approach’, which considers staff members’ individual risk factors like gender, ethnicity, and sexual orientation in assessing and addressing risks. While seeing the value of such an approach, however, many organisations are unsure how to implement it, fearing that mitigation of identity-based risk may cross the line into discrimination (for instance, not hiring female staff in places where women’s employment is proscribed.) Yet the person-centred approach does not seek to limit anyone’s opportunities (and indeed it holds that diversity in teams leads to better risk awareness generally), but rather to tailor risk mitigation measures appropriately and ensure staff members are fully informed on their risks. The other way diversity is transforming SRM is reflected in the widening pool of security professionals in the humanitarian sector. This includes more women, more professionals from the Global South, and an increasing number that have backgrounds in humanitarian programming. A new model of security professional has emerged (one which admittedly may still be challenging to recruit for) — a humanitarian programme person by training, possessed of the traditional ‘hard’ security skills and know-how, as well as ‘soft’ skills of communication, leadership, and negotiation, and the mindset which seeks to apply both in service of humanitarian programming objectives.Twenty years ago, only the largest international organisations had SRM systems and capacities in place, and it was much more of a struggle to advocate with donors for funding that supported and incentivised security measures for their staff. Today, we see this situation repeating, only this time it is the local and national NGOs that are struggling to get support from their donors (the international organisations who partner with them). To build on the significant progress made in SRM by the international organisations, the sector must focus on extending these capacities and competencies to the wider humanitarian space, bridging the indefensible gap between international and local NGOs. The includes a series of recommendations addressing this gap and other areas for improvement. Perhaps the most consequential of these, as well as the hardest to realise, involves a shift to a more forward-looking, less reactive approach to assessing risk and innovating mitigation measures. Because in addition to extending progress to the key humanitarian actors in all settings, the sector needs to stretch its planning horizons to stay on top of changing risks and, hopefully, get out in front of new ones not yet envisioned.",,report,,2024-03-01,,,https://humanitarianoutcomes.org/publications/running-place-security-risk-management-humanitarian-operations,,,,,,,,,,,,,,,,,,,Abby Stoddard,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/24_03_04_srm_blog_abby_stoddard.pdf,en,,,,,,,,
Germany's rise as a humanitarian donor,,"The international humanitarian system is faced with ever-growing challenges of sufficiency, efficiency, effectiveness and legitimacy – challenges that cannot be overcome without political will.This political will can be influenced by a variety of factors – among them, powerful narratives emanating from governments, politicians, the media, and humanitarian organisations themselves. Understanding these narratives, how they are constructed, how they change over time and the mechanisms through which they influence policy decisions is key to making the case for humanitarian assistance.This paper focuses on Germany as a case study country. Germany’s rise to becoming the second-largest humanitarian donor is exceptional in a humanitarian system that is plagued by the perennial challenge of sufficiency, where increasing volumes of private and institutional funding cannot keep pace with rising humanitarian needs.How have narratives at play amongst the population, media, government and aid agencies enabled and justified the significant increase in Germany’s humanitarian assistance budget? What role is played by the intersection of the stories that actors construct and disseminate to justify humanitarian assistance, and how do they influence the political will of policymakers and decision-making processes?To download this report, .",,report,,2023-10-01,,,https://humanitarianoutcomes.org/publications/germanys-rise-humanitarian-donor,,,,,,,,,,,,,,,,,,,Corinna Kreidler|Sonja Hövelmann|Alexandra Spencer,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://odi.org/en/publications/germanys-rise-as-a-humanitarian-donor-the-interplay-of-narratives-new-foreign-policy-ambition-and-domestic-interests/,en,,,,,,,,
Event - State of Practice: The Evolution of Security Risk Management in the Humanitarian Space,,"Join GISF and Humanitarian Outcomes for the in-person launch of this new global report, assessing the current state of practice in humanitarian security risk management.Participants will hear from one of the lead authors of this pivotal report documenting recent developments, challenges, gaps, and highlighting good practices. Attendees will also have an opportunity to ask questions, share experiences, and foster meaningful discussions around this critical topic.A broad audience of humanitarian practitioners, policymakers, and humanitarian SRM professionals are welcome.Networking and refreshments will follow.Participants unable to attend in-person can register to attend virtually.Please note that a similar event will also be taking place in Europe; details will be available soon.",,report,,2024-01-01,,,https://humanitarianoutcomes.org/publications/event-state-practice-evolution-security-risk-management-humanitarian-space,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://www.tfaforms.com/4719185?tfa_15=a04QB000000JggHYAS&tfa_18=State%20of%20Practice:%20The%20Evolution%20of%20SRM%20in%20the%20Humanitarian%20Space&tfa_19=&tfa_22=Tara%20Arthur,en,,,,,,,,
The challenge of coordination and inclusion,,"Includes Humanitarian Outcomes Research Associate, Corinna Kreidler. This report can be accessed via the .",,report,,2023-12-01,,,https://humanitarianoutcomes.org/publications/challenge-coordination-and-inclusion,,,,,,,,,,,,,,,,,,,Valentina Barca|Corinna Kreidler|Sebastian Silva-Leander|Saidou Ouedraogo|Lavinia Blundo|Rodolfo Beazley|Ana Ocampo,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://socialprotection.org/sites/default/files/publications_files/SP%20information%20systems_The%20challenge%20of%20coordination%20and%20inclusion%20in%20West%20Africa.pdf,en,,,,,,,,
Humanitarian Access SCORE Report: Sudan,,"The current conflict in Sudan, with its rapid escalation and large-scale violence, stands out among recent crises for the severity of its humanitarian impact. Despite being overshadowed on the international stage by the wars in Gaza and Ukraine, Sudan is the scene of the world's fastest growing displacement crisis, mass atrocities, and dire humanitarian needs. The longstanding humanitarian presence in the country was completely disrupted by the sudden escalation of violence in April 2023, with national aid workers displaced, offices and facilities looted, and international staff evacuated. The coordinated aid response has since struggled to scale up sufficiently due to ongoing insecurity, logistical obstacles, political interference, and stringent constraints imposed by parties to the conflict, including denial of visas for staff and restrictions on transporting aid supplies.Humanitarians’ efforts to push back against the constraints have so far failed to gain traction, in part because of insufficient staff in coordination roles and their absence at state levels. Faced with these obstacles, compounded by insufficient funding and lack of political pressure on the warring parties to respect international humanitarian law to facilitate access, the humanitarian response has reached only a small fraction of people in need. A highly localised, volunteer-driven response has emerged in the form of emergency response rooms (ERRs) and other community initiatives. These voluntary, grassroots efforts are overstretched, increasingly exhausted, and lack resources. While they cannot substitute for the large-scale and sustained levels of assistance that are needed, they are playing a vital complementary role in supporting people to meet basic needs, access services, and seek safety—and they need support to continue.",,report,,2023-12-01,,,https://humanitarianoutcomes.org/publications/score-report-sudan-2023,,,,,,,,,,,,,,,,,,,Paul Harvey|Abby Stoddard|Monica Czwarno|Meriah-Jo Breckenridge|Mariana Duque-Diez,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/score_sudan_2023.pdf,en,,,,,,,,
"SCORE: Visual summary of aid coverage and reach in sampling of crisis-affected populations, 2019-2023",,,,report,,2023-11-01,,,https://humanitarianoutcomes.org/publications/score-visual-summary-aid-coverage-and-reach-sampling-crisis-affected-populations-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/11_15_23_score_info.pdf,en,,,,,,,,
Humanitarian Access SCORE Report: Gaza - the first six months,,"Beyond the cost in human lives and suffering, and the instability it brings to the wider region, the war in Gaza has had serious repercussions for international humanitarian law (IHL) and norms around humanitarian access. Since the beginning of the current conflict, precipitated by the attack on Israel by Hamas on 7 October 2023 and followed by a major military offensive by Israel, humanitarian aid for civilians entering Gaza has been far less than what is needed, with hardly any of it reaching the north. Tight restrictions on aid goods, equipment, and personnel allowed to cross into Gaza have severely limited operational capacity for distribution, and there is no protected operational space for humanitarian efforts. More than 30,000 civilian deaths have included over 150 aid workers, an unprecedented number for a single context in such a short period. The mounting scarcity, desperation, and the breakdown of civil order have meant that the small amount of aid coming into Gaza on trucks is often seized before it can be distributed in a safe and principled way. People are now struggling to meet basic survival needs, with the first deaths of children from acute dehydration and malnutrition reported in early March 2024.",,report,,2024-03-01,,,https://humanitarianoutcomes.org/SCORE_Gaza_2024,,,,,,,,,,,,,,,,,,,Abby Stoddard|Paul Harvey|Monica Czwarno|Meriah-Jo Breckenridge|Mariana Duque-Diez,,,,,,,,,1fe251a4-ed86-40b0-be14-ca863ee1d841,,,,,https://humanitarianoutcomes.org/sites/default/files/publications/score_gaza_2024.pdf,en,,,,,,,,
